Profit: -0.27975388728418693, Difference: 0.010927766769427194
Profit: -0.41277630090871753, Difference: -0.06391608669578375
Profit: -0.37105194725458546, Difference: 0.061332085542190384
Profit: -0.6473202946531558, Difference: 0.03832005923611348
Profit: -0.5773925468338206, Difference: 0.14988792515416094
Profit: -0.5821815557697221, Difference: 0.061342699868248474
Profit: -0.5140924435598606, Difference: -0.0883230486305564
Profit: -0.36659562989351, Difference: -0.06090899178614961
Profit: -0.5353935975189756, Difference: 0.06695080247502005
Profit: -0.4474743205407634, Difference: -0.23037047076508088
Profit: -0.46168198336663124, Difference: 0.06023743007493465
Profit: -0.5095834065090088, Difference: 0.06523300580329305
Profit: -0.4061457105508026, Difference: 0.07386327498032585
Profit: -0.6860709268588607, Difference: 0.03478215149073094
Profit: -0.6044068816286199, Difference: -0.05286788093857808
Profit: -0.35425783147415757, Difference: -0.18685021199661378
Profit: -0.4938113818261911, Difference: 0.06604071363729247
Profit: -0.32210398580581057, Difference: -0.22645179756949574
Profit: -0.6446368536532532, Difference: -0.23368905037739296
Profit: -0.24502761566270692, Difference: 0.008974250699779418
Profit: -0.23721509156979437, Difference: -0.03237797313531132
Profit: -0.39391496221260525, Difference: 0.09962310325626333
Profit: -0.7252413000313851, Difference: 0.22557472994581929
Profit: -0.7732001206594106, Difference: 0.06557465433770915
Profit: -0.28851156988775983, Difference: -0.04867026191129753
Profit: -0.29019175133412034, Difference: 0.02889429085176687
Profit: -0.2524457169422192, Difference: -0.07801718340640207
Profit: -0.25679420452314616, Difference: 0.06403529891417747
Profit: -0.4650331174740643, Difference: -0.06180616402697581
Profit: -0.5233576691066162, Difference: -0.427772014371385
Profit: -0.2850083369651486, Difference: -0.03955770718353335
Profit: -0.3766913536315286, Difference: 0.07416800377109212
Profit: -0.28406898042373996, Difference: -0.015015473722613137
Profit: -0.7022313824856639, Difference: 0.23981772321164385
Profit: -0.4185703013358477, Difference: -0.04071590054851981
Profit: -0.6373886783500353, Difference: -0.23960241543412053
Profit: -0.31436636946568797, Difference: -0.010662229309716054
Profit: -0.3055952437245537, Difference: -0.10154416011609158
Profit: -0.6545316904958725, Difference: -0.11681302508085878
Profit: -0.36313020515915184, Difference: 0.14007562846461497
Profit: -0.33556542038051873, Difference: 0.06884481069666037
Profit: -0.465736170629782, Difference: 0.11126517656458645
Profit: -0.8131100949389491, Difference: -0.00968756255184644
Profit: -0.31270613523075497, Difference: -0.15615622788867256
Profit: -0.679455616150932, Difference: 0.32766478553882905
Profit: -0.4138256241348728, Difference: 0.03506538907032564
Profit: -0.856263143261998, Difference: 0.033694542172611364
Profit: -0.25276028707654064, Difference: 0.008932876823550373
Profit: -0.4162327966437971, Difference: -0.10076368146145853
Profit: -0.6515271898782089, Difference: 0.05464597038184138
Profit: -0.4080692567113715, Difference: 0.027651843908060414
Profit: -0.5541285173952986, Difference: -0.058469373825118964
Profit: -0.3759870388710027, Difference: -0.02151820833420004
Profit: -0.3480829744633951, Difference: 0.005623309718060909
Profit: -0.37413513207734184, Difference: -0.013540638841178065
Profit: -0.46044413765324066, Difference: 0.02343153473913162
Profit: -0.28033732166991854, Difference: -0.004947069332956744
Profit: -0.6602030307672067, Difference: 0.045842149259669895
Profit: -0.3710057453033784, Difference: 0.09611696359900179
Profit: -0.3885793209544488, Difference: 0.10449703271457622
Profit: -0.27500268213721313, Difference: -0.02377719139812484
Profit: -0.49421773359567567, Difference: 0.008461457572735753
Profit: -0.6614138629673363, Difference: 0.04471779257073649
Profit: -0.39717908402215585, Difference: -0.07095898433504999
Profit: -0.26652068841697485, Difference: -0.013940061666460224
Profit: -0.3052301570666316, Difference: 0.03432744477173344
Profit: -0.4393400720426399, Difference: 0.1045835371283772
Profit: -0.5016399394220343, Difference: 0.05102744568482365
Profit: -0.3402739568276303, Difference: 0.0510162491847268
Profit: -0.44904245719823166, Difference: 0.05105442015120332
Profit: -0.3221619587319111, Difference: -0.022364085942101042
Profit: -0.4899838011261295, Difference: 0.1784916246508601
Profit: -0.282755284211774, Difference: 0.020857195303889853
Profit: -0.37389830702716154, Difference: -0.04805850416593671
Profit: -0.334809447006279, Difference: -0.06303470255393506
Profit: -0.6680690193334584, Difference: 0.09596393677087178
Profit: -0.364518962574536, Difference: 0.012763414419822539
Profit: -0.6944436590760859, Difference: 0.21100295250884926
Profit: -0.3623680136082186, Difference: 0.05506674471459405
Profit: -0.5215686260249015, Difference: 0.15626219360031257
Profit: -0.26614056145137965, Difference: 0.028240434180546004
Profit: -0.4614607740078327, Difference: 0.04734143742328456
Profit: -0.33547303625859115, Difference: -0.1286450045558638
Profit: -0.23760950316162166, Difference: 0.052009297187112224
